epoch,accuracy,auc,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,val_accuracy,val_auc,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity
0,0.8791330456733704,0.9392698407173157,0.2845476567745209,0.001,0.9777210354804993,0.9843937158584595,0.34687507152557373,0.555130124092102,14.76417350769043,0.0,0.11701686680316925
1,0.9067316651344299,0.9612382054328918,0.21515293419361115,0.001,0.9854521751403809,0.9960597157478333,0.6995923519134521,0.8630890250205994,0.7280158996582031,0.9624993801116943,0.9150351285934448
2,0.9223131537437439,0.971881091594696,0.1805456280708313,0.001,0.9898117184638977,0.9977006316184998,0.5937232375144958,0.7132362127304077,1.6849128007888794,0.8362062573432922,0.7258678078651428
3,0.9323537349700928,0.9791152477264404,0.155618354678154,0.001,0.995045006275177,0.9984852075576782,0.8492688536643982,0.9270747900009155,0.34518563747406006,0.9907270073890686,0.9610680341720581
4,0.941300094127655,0.9848319888114929,0.13237543404102325,0.001,0.9964649081230164,0.9990683794021606,0.8076550364494324,0.8887550830841064,0.5374245047569275,0.9890170097351074,0.9191507697105408
5,0.94577556848526,0.9870641231536865,0.1205173209309578,0.001,0.9956215023994446,0.9994118809700012,0.9302880167961121,0.9827115535736084,0.15393561124801636,0.996915876865387,0.9985222816467285
6,0.9467995166778564,0.9881289601325989,0.11675353348255157,0.001,0.9974102973937988,0.999238133430481,0.7937285900115967,0.9778242707252502,0.5902183651924133,0.9976245164871216,0.9832231402397156
7,0.9507337212562561,0.990508496761322,0.10505101829767227,0.001,0.9976717829704285,0.9996371269226074,0.915245532989502,0.9906801581382751,0.20025023818016052,0.9980977773666382,0.9978541135787964
8,0.9515658617019653,0.9907122254371643,0.1030060425400734,0.001,0.9973214864730835,0.9996341466903687,0.9040008187294006,0.9794782400131226,0.25787508487701416,0.9727019667625427,0.9997782111167908
9,0.9529581069946289,0.9914678335189819,0.09912808984518051,0.001,0.9974114894866943,0.9995141625404358,0.945965051651001,0.9906399250030518,0.11663709580898285,0.9984866976737976,0.9992333650588989
